id,occurred_date 111,occurred_time 111,location_text 111,weather,light_condition,accident_type,dead_count 111,injured_count 111,vehicle_1_type,vehicle_1_detail,vehicle_2_type,longitude111,latitude111
1,2022-01-04,11:47:00,屏東縣內埔鄉老埤村壽比路746巷口,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.59549,22.640545
2,2022-01-07,11:26:00,屏東縣內埔鄉壽比路189巷前0.0公尺口,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.595282,22.631936
3,2022-01-10,18:11:00,屏東縣內埔鄉壽比路585號,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,3,機車,普通重型,機車,120.59646,22.636608
4,2022-01-14,10:06:00,屏東縣內埔鄉壽比路737號前,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.595443,22.640245
5,2022-01-14,12:46:00,屏東縣內埔鄉老埤村壽比路統嶺巷巷88號附近,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.598358,22.635778
6,2022-02-06,13:06:00,屏東縣內埔鄉老埤村科大路1段口 / 屏東縣內埔鄉老埤村壽比路附近,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.592935,22.630065
7,2022-02-16,14:46:00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村科大路口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.592917,22.629977
8,2022-02-18,19:51:56,屏東縣內埔鄉壽比路732號,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,普通重型,機車,120.595616,22.639932
9,2022-02-22,12:08:00,屏東縣內埔鄉壽比路附近 / 屏東縣內埔鄉科大路1段,晴,日間自然光線,車與車,0,3,機車,普通重型,機車,120.592949,22.630076
10,2022-02-23,06:50:00,屏東縣內埔鄉老埤村壽比路與福泰路口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.594832,22.631599
11,2022-02-23,10:35:00,屏東縣內埔鄉科大北路口 / 屏東縣內埔鄉壽比路,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.589126,22.633832
12,2022-02-26,12:48:00,屏東縣內埔鄉壽比路與壽比路165巷口,晴,日間自然光線,車與車,0,1,人,乘客,其他,120.596812,22.635888
13,2022-02-28,16:27:00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村南山路附近,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.59751,22.632419
14,2022-02-28,19:29:26,屏東縣內埔鄉壽比路616-3號,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,普通重型,其他,120.596368,22.637148
15,2022-03-03,18:16:41,屏東縣內埔鄉壽比路682之1號前,晴,夜間(或隧道、地下道、涵洞)無照明,人與汽(機)車,0,2,人,乘客,其他,120.596003,22.638415
16,2022-03-10,15:40:00,屏東縣內埔鄉壽比路445號前,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.597451,22.634155
17,2022-03-10,18:17:00,屏東縣內埔鄉壽比路631號,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,普通重型,機車,120.596191,22.637263
18,2022-03-15,12:27:32,屏東縣內埔鄉壽比路585號前,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.59628,22.636615
19,2022-03-24,19:52:16,屏東縣內埔鄉壽比路口 / 屏東縣內埔鄉壽比路口,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,2,機車,普通重型,機車,120.596709,22.635809
20,2022-03-26,23:33:25,屏東縣內埔鄉壽比路359巷,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,2,機車,普通重型,機車,120.595859,22.63424
21,2022-03-31,13:25:00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村壽比路附近,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.596713,22.635793
22,2022-03-31,15:51:00,屏東縣內埔鄉壽比路514號前,晴,日間自然光線,車與車,0,1,,,,120.59703,22.635356
