id,occurred_at 11,occurred_time 11,location_text 11,weather 1,light_condition 1,accident_type 1,dead_count 11,injured_count 11,vehicle_1_type 1,vehicle_1_detail 1,vehicle_2_type 1,longitude11,latitude11
1,2022-01-15 00:00:00+00,10:57:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉民善路,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.558479,22.62199
2,2022-02-04 00:00:00+00,21:09:00,屏東縣內埔鄉南寧路148號前,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,人,乘客,其他,120.563179,22.619152
3,2022-02-12 00:00:00+00,12:09:00,屏東縣內埔鄉台1線.南寧路口,晴,日間自然光線,車與車,0,2,人,乘客,其他,120.556589,22.622864
4,2022-02-06 00:00:00+00,15:33:02,屏東縣內埔鄉南寧路187號前,晴,日間自然光線,車與車,0,2,小客車,自用,汽車,120.562091,22.619538
5,2022-02-07 00:00:00+00,09:46:00,屏東縣內埔鄉南寧路與東寧路口,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.564553,22.618007
6,2022-03-10 00:00:00+00,10:41:00,屏東縣內埔鄉南寧路485號附近,晴,日間自然光線,車與車,0,3,人,乘客,其他,120.555547,22.623833
7,2022-03-14 00:00:00+00,12:00:00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉東寧村勝利路附近,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.559695,22.621216
8,2022-03-19 00:00:00+00,23:10:00,屏東縣內埔鄉南寧路69號前,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.564793,22.61798
9,2022-03-24 00:00:00+00,19:51:00,屏東縣內埔鄉南寧路284號前0.0公尺,晴,夜間(或隧道、地下道、涵洞)有照明,汽(機)車本身,0,2,人,乘客,其他,120.560342,22.620906
10,2022-03-26 00:00:00+00,07:46:00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉東寧村勝利路附近,晴,日間自然光線,車與車,0,2,人,乘客,其他,120.559738,22.621181
11,2022-04-01 00:00:00+00,08:29:00,屏東縣內埔鄉台1線.南寧路口,晴,日間自然光線,車與車,0,1,機車,普通重型,機車,120.556723,22.622506
