id,occurred_at 112,occurred_time 112,location_text 112,weather 2,light_condition 2,accident_type 2,dead_count 112,injured_count 112,vehicle_1_type 2,vehicle_1_detail 2,vehicle_2_type 2,longitude112,latitude112
1,2023-01-03,19:49:00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村科大路1段附近,晴,日間自然光線,車與車,0,1,機車,普通重型,其他,120.592911,22.630031
2,2023-01-06,06:49:38,屏東縣內埔鄉壽比路528號,晴,日間自然光線,車與車,0,2,小貨車(含客、貨兩用),自用,其他,120.596812,22.635888
3,2023-01-07,18:45:39,屏東縣內埔鄉壽比路655-1號前,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,普通重型,機車,120.595474,22.639359
4,2023-01-08,13:16:55,屏東縣內埔鄉壽比路627號前,晴,日間自然光線,車與車,0,3,人,乘客,其他,120.596159,22.637159
5,2023-01-14,23:25:52,屏東縣內埔鄉壽比路與福泰路口,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,2,機車,普通重型,機車,120.594824,22.631628
6,2023-02-12,16:37:00,屏東縣內埔鄉壽比路126號,晴,日間自然光線,車與車,0,2,機車,普通重型,機車,120.594445,22.631144
7,2023-02-19,18:50:00,屏東縣內埔鄉老埤村壽比路205號附近,晴,夜間(或隧道、地下道、涵洞)有照明,汽(機)車本身,0,2,人,乘客,其他,120.595573,22.63212
8,2023-02-24,19:14:00,屏東縣內埔鄉學府路口 / 屏東縣內埔鄉壽比路附近,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,2,機車,普通重型,其他,120.595503,22.640707
9,2023-02-25,11:56:00,屏東縣內埔鄉壽比路680號,晴,日間自然光線,車與車,0,1,小客車,自用,汽車,120.596144,22.63866
10,2023-03-02,18:14:52,屏東縣內埔鄉老埤村壽比路587號前0.0公尺,陰,夜間(或隧道、地下道、涵洞)無照明,車與車,0,2,機車,普通重型,機車,120.596355,22.636838
11,2023-03-03,13:09:00,屏東縣內埔鄉壽比路723號前0.0公尺,晴,日間自然光線,車與車,0,1,小客車,自用,其他,120.595281,22.639936
