id,occurred_at 12,occurred_time 12,location_text 12,weather 3,light_condition 3,accident_type 3,dead_count 12,injured_count 12,vehicle_1_type 3,vehicle_2_type 3,vehicle_1_detail 3,longitude12,latitude12
1,2023-01-01,08:31:50,屏東縣內埔鄉南寧路與東寧路口,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),其他,自用,120.564541,22.618038
2,2023-01-13,16:28:12,屏東縣內埔鄉東寧村南寧路與康寧路口,晴,日間自然光線,車與車,0,2,機車,機車,普通重型,120.561228,22.62027
3,2023-01-19,09:23:55,屏東縣內埔鄉南寧路與勝利路口,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.559636,22.621238
4,2023-01-26,19:31:59,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉勝利路,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,小貨車(含客、貨兩用),汽車,自用,120.559738,22.621191
5,2023-02-11,05:54:30,屏東縣內埔鄉東寧村南寧路424號前0.0公尺,陰,晨或暮光,車與車,0,1,小客車,汽車,自用,120.55728,22.622797
6,2023-02-11,11:16:00,屏東縣內埔鄉東寧村南寧路422號前0.0公尺附近,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.557552,22.622578
7,2023-02-21,15:48:00,屏東縣內埔鄉南寧路394號前0.0公尺,晴,日間自然光線,車與車,0,2,機車,機車,普通重型,120.558885,22.621722
8,2023-02-23,21:16:00,屏東縣內埔鄉東寧路口 / 屏東縣內埔鄉南寧路口,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,機車,普通重型,120.564636,22.618003
9,2023-02-24,21:30:14,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉東寧路口,晴,夜間(或隧道、地下道、涵洞)有照明,汽(機)車本身,0,2,人,其他,乘客,120.564566,22.617964
10,2025-03-08,16:30:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉綏平路,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.562646,22.619226
11,2025-03-09,16:02:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉綏平路附近,晴,日間自然光線,車與車,0,2,機車,機車,普通重型,120.562732,22.619276
12,2023-03-10,16:41:02,屏東縣內埔鄉南寧路與平昌街口,晴,日間自然光線,車與車,0,2,機車,機車,普通重型,120.564545,22.618119
13,2023-03-21,12:56:27,屏東縣內埔鄉屏光路與南寧路口,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),汽車,自用,120.556567,22.622868
14,2025-04-06,16:54:00,屏東縣內埔鄉南寧路109號,晴,日間自然光線,車與車,0,2,機車,機車,普通重型,120.563583,22.618557
15,2025-04-07,10:29:00,屏東縣內埔鄉南寧路附近 / 屏東縣內埔鄉新唐路口,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.555461,22.623822
16,2023-04-11,18:46:00,屏東縣內埔鄉南寧路88號前,晴,日間自然光線,人與汽(機)車,0,2,人,其他,行人,120.564413,22.618314
17,2023-04-17,07:16:29,屏東縣內埔鄉南寧路與勝利路口,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.566394,22.619645
18,2023-04-17,11:15:20,屏東縣內埔鄉東寧村台一線南寧路485號,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.555637,22.623715
19,2023-04-29,18:30:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉平昌街附近,晴,日間自然光線,車與車,0,2,人,其他,乘客,120.564615,22.618023
20,2023-05-24,15:14:49,屏東縣內埔鄉南寧路139號前0.0公尺,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),汽車,營業用,120.563233,22.618886
21,2023-05-29,11:10:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉平昌街,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.564671,22.618102
22,2023-05-30,11:32:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉北寧路,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.565554,22.617501
23,2025-06-05,15:59:40,屏東縣內埔鄉南寧路482號前0.0公尺,雨,日間自然光線,車與車,0,1,機車,機車,普通重型,120.555102,22.624305
24,2025-06-06,20:02:05,屏東縣內埔鄉南寧路163號,雨,夜間(或隧道、地下道、涵洞)有照明,汽(機)車本身,0,1,,,,120.562525,22.61928
25,2023-06-20,16:33:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉東寧路,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.564676,22.617985
26,2025-08-04,19:11:22,屏東縣內埔鄉南寧路116-11號前0.0公尺,晴,有照明且開啟,人與車,0,2,機車,機車與自行車,普通重型,120.563697,22.618713
27,2023-08-26,10:44:00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉勝利路,晴,有照明未開啟或故障,車與車,0,1,機車,機車與自行車,普通重型,120.559693,22.621164
28,2023-08-26,16:04:12,屏東縣內埔鄉東寧村南寧路378號前0.0公尺,雨,無照明,車與車,0,1,小客車(含客、貨兩用),汽車,自用,120.559068,22.62163
29,2023-08-29,14:54:00,屏東縣內埔鄉南寧路109號前0.0公尺,晴,有照明且開啟,人與車,0,2,人,其他,行人,120.563583,22.618557
30,2023-08-29,18:41:42,屏東縣內埔鄉東寧村南寧路與北寧路口,陰,有照明且開啟,車與車,0,1,機車,機車與自行車,普通重型,120.565584,22.617481
31,2023-09-23,12:08:49,屏東縣內埔鄉南寧路217號前,晴,無照明,車與車,0,1,小客車(含客、貨兩用),汽車,租賃車,120.561467,22.61996
32,2023-10-11,01:13:59,屏東縣內埔鄉屏光路口 / 屏東縣內埔鄉南寧路,晴,有照明且開啟,車與車,0,2,機車,機車與自行車,普通重型,120.556654,22.622895
33,2023-10-14,22:59:00,屏東縣內埔鄉南寧路248號附近,晴,有照明且開啟,車與車,0,1,小客車(含客、貨兩用),汽車,自用,120.56082,22.620526
34,2023-10-23,14:20:09,屏東縣內埔鄉南寧路6號前,晴,有照明未開啟或故障,車與車,0,2,機車,機車與自行車,普通重型,120.565763,22.616906
35,2023-11-22,18:21:35,屏東縣內埔鄉南寧路482號,晴,有照明且開啟,車與車,0,1,機車,機車與自行車,普通重型,120.555095,22.624385
36,2023-11-23,14:12:00,屏東縣內埔鄉南寧路附近 / 屏東縣內埔鄉信寧路,晴,有照明未開啟或故障,車與車,0,1,人,其他,乘客,120.562009,22.619744
37,2023-12-02,16:34:00,屏東縣內埔鄉南寧路23號前0.0公尺,晴,有照明且開啟,人與車,0,2,人,其他,行人,120.565528,22.617385
38,2023-12-08,14:08:00,屏東縣內埔鄉南寧路北側 / 屏東縣內埔鄉民生路附近,晴,有照明且開啟,車與車,0,1,慢車,機車與自行車,腳踏自行車,120.565771,22.61682
39,2023-12-09,18:05:00,屏東縣內埔鄉勝利路口 / 屏東縣內埔鄉南寧路,晴,有照明且開啟,車與車,0,1,小客車(含客、貨兩用),其他,自用,120.560232,22.620876
40,2023-12-11,10:57:17,屏東縣內埔鄉南寧路61號前,晴,無照明,車與車,0,2,人,其他,乘客,120.565005,22.617837
41,2023-12-26,09:34:00,屏東縣內埔鄉屏光路口 / 屏東縣內埔鄉南寧路,晴,有照明且開啟,車與車,0,2,機車,機車與自行車,普通重型,120.556547,22.62284
42,2023-12-27,16:48:58,屏東縣內埔鄉南寧路485號前0.0公尺附近,晴,無照明,車與車,0,1,慢車,機車與自行車,電動輔助自行車,120.554837,22.624218
43,2023-02-02,08:16:29,屏東縣內埔鄉民善路口 / 屏東縣內埔鄉東寧路口,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.563727,22.621382
44,2023-02-02,08:16:29,屏東縣內埔鄉民善路口 / 屏東縣內埔鄉東寧路口,晴,日間自然光線,車與車,0,1,機車,機車,普通重型,120.563727,22.621382
45,2023-02-02,08:16:29,屏東縣內埔鄉民善路口 / 屏東縣內埔鄉東寧路口,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.563727,22.621382
46,2023-02-02,08:16:29,屏東縣內埔鄉民善路口 / 屏東縣內埔鄉東寧路口,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.563727,22.621382
47,2023-03-12,16:24:02,屏東縣內埔鄉文化路口 / 屏東縣內埔鄉南華路口,晴,日間自然光線,車與車,0,2,機車,機車,普通重型,120.572391,22.609667
48,2023-03-18,20:10:00,屏東縣內埔鄉南華路186巷43號,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.575075,22.614113
49,2023-03-24,09:58:27,屏東縣內埔鄉南華路302號,晴,日間自然光線,車與車,0,2,人,其他,乘客,120.576302,22.615359
50,2023-04-05,10:57:00,屏東縣內埔鄉勝光路與南華路附近,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.573411,22.61187
51,2023-04-06,07:34:00,屏東縣內埔鄉光明路口 / 屏東縣內埔鄉南華路,晴,日間自然光線,車與車,0,3,人,,乘客,120.575423,22.616649
52,2023-04-09,14:22:50,屏東縣內埔鄉南華路11-4號,雨,日間自然光線,車與車,0,2,人,,乘客,120.574249,22.612781
53,2023-04-18,18:56:20,屏東縣內埔鄉內埔村光明路與南華路口,陰,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,,普通重型,120.575424,22.616634
54,2023-05-03,12:08:21,屏東縣內埔鄉南華路段,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.574279,22.612739
55,2023-05-07,18:45:00,屏東縣內埔鄉光明路附近 / 屏東縣內埔鄉南華路,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,2,機車,,普通重型,120.575423,22.616649
56,2023-05-09,16:27:51,屏東縣內埔鄉勝光路南華路,晴,日間自然光線,車與車,0,1,慢車,,微型電動二輪車,120.57351,22.611597
57,2023-07-11,19:16:00,屏東縣內埔鄉南華路186巷326號旁,晴,有照明且開啟,車輛本身,0,1,小客車(含客、貨兩用),,自用,120.575075,22.614113
58,2023-08-22,16:33:00,屏東縣內埔鄉南華路130號,晴,有照明且開啟,車與車,0,1,機車,,普通重型,120.573995,22.612419
59,2023-08-31,14:40:00,屏東縣內埔鄉南華路186巷43號,陰,有照明未開啟或故障,車與車,0,1,機車,,普通重型,120.57555,22.614364
60,2023-10-10,18:16:16,屏東縣內埔鄉光明路與南華路口,晴,有照明且開啟,車與車,0,1,機車,,普通重型,120.575402,22.616603
61,2023-10-31,07:15:54,屏東縣內埔鄉南華路口 / 屏東縣內埔鄉勝光路口,晴,無照明,車與車,0,1,機車,,普通重型,120.573507,22.611572
62,2023-11-07,17:20:14,屏東縣內埔鄉內埔村文化路與南華路口,陰,無照明,車與車,0,1,人,,乘客,120.572369,22.609685
63,2023-12-19,23:21:39,屏東縣內埔鄉光明路口 / 屏東縣內埔鄉南華路,晴,有照明且開啟,車與車,0,1,機車,機車與自行車,普通重型,120.575427,22.616609
64,2023-12-31,16:31:05,屏東縣內埔鄉南華路42號前0.0公尺,晴,無照明,車與車,0,2,人,其他,乘客,120.574741,22.613578
65,2023-02-01,18:22:00,屏東縣內埔鄉新東路168號前0.0公尺,晴,日間自然光線,人與汽(機)車,0,2,人,,行人,120.544457,22.625783
66,2023-02-19,13:51:00,屏東縣內埔鄉新東路284號,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.544681,22.627666
67,2023-02-28,18:31:25,屏東縣內埔鄉新東路與瀧觀巷口,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,,普通重型,120.544331,22.625497
68,2023-04-26,08:49:49,屏東縣內埔鄉中正路與新東路口,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),,自用,120.545172,22.630432
69,2023-05-16,11:56:26,屏東縣內埔鄉中正路新東路,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.545231,22.630536
70,2023-08-06,08:09:38,屏東縣內埔鄉新東路瀧觀巷,陰,有照明未開啟或故障,車與車,0,1,機車,,普通重型,120.544331,22.625497
71,2023-03-19,19:43:00,屏東縣內埔鄉樹新路口 / 屏東縣內埔鄉北寧路二段,晴,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,機車,,普通重型,120.568763,22.634339
72,2023-10-29,11:11:55,屏東縣內埔鄉樹新路與竹東路口,晴,無照明,車與車,0,1,機車,,普通重型,120.568166,22.634303
73,2023-12-17,15:08:47,屏東縣內埔鄉樹新路9號前,晴,無照明,車與車,0,1,機車,,普通重型,120.568381,22.634266
74,2023-01-11,10:59:00,屏東縣內埔鄉原勝路63號前0.0公尺,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.599509,22.665696
75,2023-02-01,10:36:00,屏東縣內埔鄉原勝路28號附近,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),,自用,120.600041,22.667849
76,2023-02-03,10:46:00,屏東縣內埔鄉原勝路口 / 屏東縣內埔鄉中林路口,晴,日間自然光線,車與車,0,1,小客車,汽車,自用,120.606324,22.665432
77,2023-03-02,12:19:36,屏東縣內埔鄉原勝路55號前,晴,日間自然光線,車與車,0,1,機車,,普通重型,120.599527,22.665277
78,2023-03-08,16:41:25,屏東縣內埔鄉原勝路87號前,晴,日間自然光線,車與車,0,3,人,,乘客,120.599719,22.666287
79,2023-03-16,16:30:00,屏東縣內埔鄉原勝路211號前0.0公尺,晴,日間自然光線,車與車,0,2,機車,,普通重型,120.600094,22.668974
80,2023-05-03,08:30:37,屏東縣內埔鄉原勝路76號前,晴,日間自然光線,車與車,0,1,小貨車(含客、貨兩用),,自用,120.6002,22.669037
81,2023-05-29,22:52:01,屏東縣內埔鄉龍泉村原勝路與通賢巷口,陰,夜間(或隧道、地下道、涵洞)有照明,車與車,0,1,小客車,,自用,120.600058,22.668532
