id,occurred_at,location_text,dead_count,injured_count,vehicles,longitude,latitude
1137,2021-08-25 19:54:00+00,屏東縣內埔鄉科大路二段與新生路口,0,1,"[""自用小客車"",""普通重型機車""]",120.579835,22.617056
1138,2021-11-10 07:16:00+00,屏東縣內埔鄉科大路二段112號前,0,1,"[""自用小客車"",""普通重型機車""]",120.578012,22.644547
1139,2021-07-09 21:50:00+00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村壽比路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.597456,22.634205
1140,2021-07-09 21:50:00+00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村壽比路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.597456,22.634205
1141,2021-07-09 21:50:00+00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村壽比路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.597456,22.634205
1142,2021-07-09 21:50:00+00,屏東縣內埔鄉老埤村壽比路口 / 屏東縣內埔鄉老埤村壽比路附近,0,1,"[""自用小客車"",""普通重型機車""]",120.597456,22.634205
1143,2021-07-24 19:29:00+00,屏東縣內埔鄉壽比路742號前,0,2,"[""普通重型機車"",""普通重型機車""]",120.59556,22.640546
1144,2021-08-19 19:32:00+00,屏東縣內埔鄉壽比路420號前,0,1,"[""普通重型機車"",""自用小客車""]",120.597751,22.633986
1145,2021-08-29 12:41:00+00,屏東縣內埔鄉壽比路730-8號前0.0公尺,0,1,"[""自用小客車"",""普通重型機車""]",120.595512,22.639717
1146,2021-09-05 19:30:00+00,屏東縣內埔鄉壽比路統嶺巷,0,1,"[""普通重型機車"",""自用小客車""]",120.597447,22.634247
1147,2021-09-12 19:26:00+00,屏東縣內埔鄉老埤村壽比路與統嶺巷口,0,1,"[""普通重型機車"",""普通重型機車""]",120.59749,22.634231
1148,2021-09-13 09:30:00+00,屏東縣內埔鄉壽比路與通安路口,0,1,"[""普通重型機車""]",120.596727,22.635803
