id,occurred_at1,location_text1,dead_count1,injured_count1,vehicles1,longitude1,latitude1
1,2021-08-29 16:50:00+00,屏東縣內埔鄉廣濟路口 / 屏東縣內埔鄉南寧路,0,1,"[""普通重型機車"",""普通重型機車""]",120.565559,22.617383
2,2021-08-29 16:50:00+00,屏東縣內埔鄉廣濟路口 / 屏東縣內埔鄉南寧路,0,1,"[""普通重型機車"",""普通重型機車""]",120.565559,22.617383
3,2021-07-27 15:57:00+00,屏東縣內埔鄉南寧路與南寧路502巷口,0,2,"[""普通重型機車"",""普通重型機車""]",120.553761,22.625098
4,2021-07-31 09:23:00+00,屏東縣內埔鄉東寧村南寧路與綏平路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.56267,22.619279
5,2021-08-23 11:04:00+00,屏東縣內埔鄉南寧路137號前,0,1,"[""自用小客車"",""普通重型機車""]",120.563353,22.618755
6,2021-08-26 09:55:00+00,屏東縣內埔鄉東寧村南寧路37號前,0,2,"[""普通重型機車"",""普通重型機車""]",120.565344,22.617638
7,2021-09-01 15:15:00+00,屏東縣內埔鄉南寧路153號前,0,1,"[""普通重型機車"",""自用小客車""]",120.56297,22.618992
8,2021-09-04 09:16:00+00,屏東縣內埔鄉屏光路與南寧路口,0,1,"[""自用小客車"",""普通重型機車""]",120.556514,22.6842
9,2021-09-12 17:39:00+00,屏東縣內埔鄉南寧路11號前,0,1,"[""普通重型機車"",""自用小客車""]",120.565547,22.617063
10,2021-09-14 08:06:00+00,屏東縣內埔鄉南寧路4號前,0,1,"[""自用小貨車(含客貨兩用)"",""普通重型機車""]",120.557707,22.6714
11,2021-09-28 10:15:00+00,屏東縣內埔鄉東寧村南寧路13號附近,0,1,"[""普通重型機車"",""普通重型機車""]",120.565573,22.617303
12,2021-10-04 16:50:00+00,屏東縣內埔鄉南寧路187號,0,1,"[""自用小貨車(含客貨兩用)"",""普通重型機車""]",120.562091,22.619538
13,2021-10-07 18:02:00+00,屏東縣內埔鄉東寧村南寧路與中寧路口,0,1,"[""普通重型機車"",""普通重型機車""]",120.560658,22.62059
14,2021-10-09 19:21:00+00,屏東縣內埔鄉南寧路389號前,0,1,"[""自用小客車"",""普通重型機車""]",120.558149,22.6034
15,2021-10-15 19:08:00+00,屏東縣內埔鄉南寧路88號前,0,1,"[""普通重型機車"",""自用小客車""]",120.564413,22.618314
16,2021-10-18 11:27:00+00,屏東縣內埔鄉南寧路口 / 屏東縣內埔鄉民善路,0,1,"[""自用小客車"",""電動自行車慢車""]",120.558479,22.62199
17,2021-10-20 12:38:00+00,屏東縣內埔鄉南寧路214號前,0,2,"[""普通重型機車"",""普通重型機車""]",120.561646,22.620185
18,2021-10-23 12:00:00+00,屏東縣內埔鄉屏光路南寧路,0,1,"[""自用小客車"",""普通重型機車""]",120.556547,22.684
19,2021-10-29 11:36:00+00,屏東縣內埔鄉南寧路民善路,0,2,"[""普通重型機車"",""普通重型機車""]",120.558479,22.62199
20,2021-10-30 08:00:00+00,屏東縣內埔鄉台一線與南寧路口,0,2,"[""普通重型機車"",""普通重型機車""]",120.563526,22.61877
21,2021-11-06 15:01:00+00,屏東縣內埔鄉東寧村南寧路61號前0.0公尺,0,1,"[""自用小客車"",""普通重型機車""]",120.564973,22.617882
22,2021-11-10 18:54:00+00,屏東縣內埔鄉東寧村南寧路12號前,0,1,"[""自用小貨車(含客貨兩用)"",""普通重型機車""]",120.56559,22.61742
23,2021-11-18 21:29:00+00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉東寧村南寧路附近,0,2,"[""普通重型機車"",""普通重型機車""]",120.553751,22.62508
24,2021-11-21 08:40:00+00,屏東縣內埔鄉南寧路451巷往南,0,1,"[""普通重型機車""]",120.56632,22.615134
25,2021-11-26 14:17:00+00,屏東縣內埔鄉南寧路481號,0,1,"[""普通重型機車""]",120.555547,22.623833
26,2021-12-10 08:36:00+00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉東寧村利寧路口,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.564152,22.618392
27,2021-12-10 08:36:00+00,屏東縣內埔鄉東寧村南寧路口 / 屏東縣內埔鄉東寧村利寧路口,0,3,"[""普通重型機車"",""普通重型機車"",""乘客人""]",120.564152,22.618392
28,2021-12-10 14:06:00+00,屏東縣內埔鄉東寧村台一線南寧路飄香客棧前,0,1,"[""自用小客車"",""普通重型機車""]",120.55671,22.623195
29,2021-12-15 11:17:00+00,屏東縣內埔鄉東寧路南寧路,0,2,"[""行人人"",""普通重型機車""]",120.560154,22.62092
30,2021-12-16 13:01:00+00,屏東縣內埔鄉南寧路4號前0.0公尺,0,1,"[""自用小客車"",""普通重型機車""]",120.557648,22.6551
31,2021-06-01 16:21:00+00,屏東縣內埔鄉南寧路廣濟路,0,2,"[""普通重型機車"",""普通重型機車""]",120.565554,22.617501
32,2021-01-12 11:31:00+00,屏東縣內埔鄉南寧路北寧路,0,1,"[""自用小貨車(含客、貨兩用)"",""普通重型機車""]",120.565554,22.617501
